"시간","로그 레벨","소스","메시지"
"2025-05-15 08:29:36","긴급","사용자 인증","시스템 시작됨"
"2025-05-15 06:32:36","경고","시스템","네트워크 연결 끊김"
"2025-05-15 03:35:36","정보","트럭 제어","트럭 연결 성공"
"2025-05-15 02:50:36","오류","트럭 제어","게이트 닫힘"
"2025-05-15 01:37:36","긴급","미션 관리","네트워크 연결 복구됨"
"2025-05-14 21:07:36","오류","시스템","사용자 로그인 성공"
"2025-05-14 13:38:36","오류","사용자 인증","사용자 로그인 실패"
"2025-05-14 10:12:36","오류","사용자 인증","미션 완료됨"
"2025-05-13 21:25:36","오류","트럭 제어","시스템 종료"
"2025-05-13 14:36:36","정보","트럭 제어","게이트 열림"
"2025-05-13 09:07:36","정보","네트워크","미션 완료됨"
"2025-05-13 02:50:36","긴급","사용자 인증","사용자 로그인 실패"
"2025-05-12 18:16:36","경고","미션 관리","미션 생성됨"
"2025-05-12 17:37:36","오류","트럭 제어","미션 취소됨"
"2025-05-12 15:11:36","경고","미션 관리","게이트 닫힘"
"2025-05-12 14:01:36","경고","네트워크","미션 완료됨"
"2025-05-12 07:47:36","경고","미션 관리","시스템 시작됨"
"2025-05-12 06:26:36","정보","시스템","트럭 연결 성공"
"2025-05-11 21:52:36","긴급","트럭 제어","사용자 로그인 성공"
"2025-05-11 20:41:36","경고","사용자 인증","트럭 연결 실패"
"2025-05-11 17:32:36","정보","미션 관리","트럭 연결 실패"
"2025-05-11 16:15:36","경고","네트워크","배터리 부족 경고"
"2025-05-11 14:24:36","오류","트럭 제어","미션 생성됨"
"2025-05-11 07:30:36","경고","트럭 제어","사용자 로그인 실패"
"2025-05-11 06:16:36","오류","시스템","사용자 로그인 실패"
"2025-05-11 01:08:36","오류","네트워크","트럭 연결 성공"
"2025-05-10 21:47:36","오류","네트워크","미션 취소됨"
"2025-05-10 18:04:36","오류","시스템","사용자 로그인 성공"
"2025-05-10 17:43:36","오류","미션 관리","네트워크 연결 끊김"
"2025-05-10 17:42:36","정보","시스템","사용자 로그인 성공"
"2025-05-10 17:41:36","경고","트럭 제어","사용자 로그인 실패"
"2025-05-10 16:38:36","경고","트럭 제어","네트워크 연결 끊김"
"2025-05-10 15:47:36","정보","네트워크","미션 완료됨"
"2025-05-10 10:23:36","오류","트럭 제어","게이트 닫힘"
"2025-05-09 12:13:36","긴급","네트워크","미션 완료됨"
"2025-05-09 10:57:36","경고","트럭 제어","사용자 로그인 실패"
"2025-05-09 06:19:36","경고","사용자 인증","네트워크 연결 끊김"
"2025-05-09 05:22:36","긴급","트럭 제어","시스템 시작됨"
"2025-05-09 04:53:36","오류","시스템","미션 완료됨"
"2025-05-09 04:29:36","정보","미션 관리","사용자 로그인 성공"
"2025-05-08 22:51:36","긴급","네트워크","미션 완료됨"
"2025-05-08 22:35:36","경고","시스템","미션 생성됨"
"2025-05-08 18:51:36","경고","시스템","배터리 부족 경고"
"2025-05-08 17:01:36","정보","네트워크","네트워크 연결 끊김"
"2025-05-08 15:37:36","정보","사용자 인증","시스템 종료"
"2025-05-08 15:19:36","경고","미션 관리","게이트 열림"
"2025-05-08 12:38:36","경고","트럭 제어","네트워크 연결 끊김"
"2025-05-08 11:02:36","오류","네트워크","트럭 연결 성공"
"2025-05-08 10:42:36","오류","미션 관리","시스템 시작됨"
"2025-05-08 10:10:36","오류","시스템","미션 생성됨"
